,generation,final fitness
0,0,0.0021227442799805867
1,5,0.020922005921525457
2,10,0.03521197733118374
3,15,0.050678497909720524
4,20,0.05984992603415878
5,25,0.05751277936371451
6,30,0.05865627847643471
7,35,0.0756856298665632
8,40,0.0833471820229231
9,45,0.09574891295190695
10,50,0.08904782118581694
11,55,0.0828619730248012
12,60,0.10168464543630526
13,65,0.10271923608436338
14,70,0.09704549273493827
15,75,0.0943930006563146
16,80,0.09736481523213972
17,85,0.11038436482517783
18,90,0.10937352951795093
19,95,0.1201530179238461
20,100,0.10260203579758273
21,105,0.12840275650792743
22,110,0.11649883018527778
23,115,0.11247134530838661
24,120,0.1080997410513067
25,125,0.1163601121689654
26,130,0.09572528830531639
27,135,0.13760040267815665
28,140,0.13545349995145864
29,145,0.12535274479107197
30,150,0.14066858959828807
31,155,0.1266037857660058
32,160,0.13218665085042478
33,165,0.1265452292020412
34,170,0.1484308480622265
35,175,0.12920221452303113
36,180,0.13465403214061344
37,185,0.14823730151936573
38,190,0.13420318076949148
39,195,0.14805166017197843
